Stock Code,Company Name,Year,Current Price,31 Dec 2024 Price,Market Cap,NAV,NAV (Per Unit),Price-to-NAV Ratio (Share Price / NAV Per Unit),Price-to-NAV Ratio (31 Dec 2024 Price),BVPS,Published P/B Ratio,Calculated P/B Ratio (Share Price / Book Value Per Share),Calculated P/B Ratio (31 Dec 2024 Price),Gearing Ratio (Total Debt/ Total Assets),D/E Ratio (Debt / Shareholder Equity),DPU,Dividend Yield,Dividend Yield (31 Dec 2024 Price),Net Property Income,Interest Expense,Interest Coverage Ratio (EBITDA / Interest Expense)
N2IU,Mapletree Pan Asia Commercial Trust,2025-03-31,1.46,1.21,7701195776,9624543000.0,1.8271279268557363,0.7990682964998961,0.6622415334005988,1.8271279268557363,0.8381171,0.7990682964998961,0.6622415334005988,0.3715341973076163,0.6231110401813365,0.0596,4.082191780821918,4.925619834710744,588828000.0,252259000.0,3.145933346282987
N2IU,Mapletree Pan Asia Commercial Trust,2024-03-31,1.46,1.21,7701195776,9471202000.0,1.803013349082393,0.8097555133149942,0.6710987473363993,1.803013349082393,0.8381171,0.8097555133149942,0.6710987473363993,0.399129867555428,0.7021725436750267,0.0856,5.863013698630136,7.074380165289256,582744000.0,295266000.0,2.774921596120109
N2IU,Mapletree Pan Asia Commercial Trust,2023-03-31,1.46,1.21,7701195776,9482380000.0,1.8098452245438923,0.8066988161200036,0.6685654571953454,1.8098452245438923,0.8381171,0.8066988161200036,0.6685654571953454,0.4031001579433377,0.7154005639934278,0.09090000000000001,6.226027397260275,7.512396694214877,486198000.0,188055000.0,3.2936853580069663
N2IU,Mapletree Pan Asia Commercial Trust,2022-03-31,1.46,1.21,7701195776,5793537000.0,1.7431962073877227,0.8375419782423069,0.694127255940542,1.7431962073877227,0.8381171,0.8375419782423069,0.694127255940542,0.3343899281019148,0.5185664646657129,0.1008,6.904109589041097,8.330578512396695,347019000.0,54067000.0,7.85434738380158
N2IU,Mapletree Pan Asia Commercial Trust,2021-03-31,1.46,1.21,7701195776,,,,,,0.8381171,,,,,0.09709999999999999,6.6506849315068495,8.024793388429751,0.0,0.0,
HMN,CapitaLand Ascott Trust,2024-12-31,0.94,0.87,3590404096,4841320000.0,1.2753183079981223,0.7370708897573389,0.682182632009452,1.2753183079981223,0.83928573,0.7370708897573389,0.682182632009452,0.38749581920365894,0.7059537481513306,0.05642,6.002127659574468,6.485057471264367,241175000.0,138862000.0,2.6568535668505424
HMN,CapitaLand Ascott Trust,2023-12-31,0.94,0.87,3590404096,4830294000.0,1.2835247962960208,0.7323582705317729,0.6778209525134494,1.2835247962960208,0.83928573,0.7323582705317729,0.6778209525134494,0.3798320319099283,0.6865517916714801,0.05734,6.1000000000000005,6.590804597701149,231255000.0,125757000.0,3.4317692056903395
HMN,CapitaLand Ascott Trust,2022-12-31,0.94,0.87,3590404096,4444795000.0,1.2899822238345728,0.7286922119017862,0.6744278982495255,1.2899822238345728,0.83928573,0.7286922119017862,0.6744278982495255,0.3920288326086255,0.7076859562701991,0.05136,5.463829787234043,5.903448275862069,223305000.0,84396000.0,4.249063936679463
HMN,CapitaLand Ascott Trust,2021-12-31,0.94,0.87,3590404096,4367719000.0,1.3330249802612324,0.7051630794013991,0.6526509351906566,1.3330249802612324,0.83928573,0.7051630794013991,0.6526509351906566,0.389095600993425,0.6889115348308809,0.045759999999999995,4.868085106382979,5.259770114942528,309317000.0,58751000.0,5.198549811918095
HMN,CapitaLand Ascott Trust,2020-12-31,0.94,0.87,3590404096,,,,,,0.83928573,,,,,0.01047,1.1138297872340426,1.203448275862069,,,
Q5T,Far East Hospitality Trust,2024-12-31,0.605,0.61,1223097088,1851803000.0,0.9191594653218641,0.6582100525811871,0.6636498050818581,0.9191594653218641,0.66777045,0.6582100525811871,0.6636498050818581,0.2770079964554705,0.38691318676986697,0.0413,6.826446280991736,6.770491803278689,46700000.0,29777000.0,2.498236894247238
